channel_id,channel_title,seed_label,wd_class,country,subscribers,videos,topics,url,description,verdict,note
UCUndA_nUiEeDVtEyxPhnkXw,Андрей Угланов,Andrey Uglanov,journalist,RU,1250000,601,Society|Politics,https://www.youtube.com/channel/UCUndA_nUiEeDVtEyxPhnkXw,"YouTube-канал Андрея Угланова - Главного  редактора Федерального социально-аналитического еженедельника ""Аргументы недели"". Сайт argumenti.ru  Закончил МАИ, работал в авиационно-космической промышленн",ok,
UC94hs-dlRxj2VVPqLBJGfAg,АНДРІЙ ДАНІЛЕВИЧ,Q125145739,journalist,UA,186000,1178,Television_program|Society|Politics,https://www.youtube.com/channel/UC94hs-dlRxj2VVPqLBJGfAg,"Я — Андрій Данілевич. Журналіст, телеведучий. На цьому каналі моя робота, мої захоплення, думки та проекти.   ",false_positive,primarily a sports broadcaster
UCljE1ODdSF7LS9xx9eWq0GQ,potholer54,Peter Hadfield,YouTuber|blogger|journalist,AU,241000,230,Politics|Society|Knowledge,https://www.youtube.com/channel/UCljE1ODdSF7LS9xx9eWq0GQ,"The purpose of this channel is to correct false scientific information on the internet. I am a former science journalist and geologist (see the ""Who I am"" video or channel trailer).  Feel free to post",false_positive,"science-misinformation debunking, not news"
UC-q8URCNmX5Wg4R9kXtW4tg,Punkt.PRERADOVIC,Milena Preradovic,journalist,AT,157000,581,Health|Society|Politics,https://www.youtube.com/channel/UC-q8URCNmX5Wg4R9kXtW4tg,Keine Angst vor klugen Frauen mit starker Meinung? Dann bist Du hier richtig!   Unter Punkt.PRERADOVIC greife ich auf Youtube jede Woche ein heißes und kontroverses Thema auf und diskutiere mit meinun,ok,
UCYAE_GQmODQNie7DSM0X70g,『 「 リチャード・コシミズ 講演会 」公式「 動画ギャラリー 」 』,Richard Koshimizu,journalist,JP,3380,145,Politics|Society,https://www.youtube.com/channel/UCYAE_GQmODQNie7DSM0X70g,ジャーナリストのリチャード・コシミズです。  リチャード・コシミズは、たった26人のハザール大富豪たちが、世界の富の半分を独占し、その独占を継続するために、コロナ騒動、ウクライナ紛争を引き起こし、全人類を不幸に陥れていると考えます。ハザール・マフィアを無力化し、新たな人類の歴史を創ることを目指します。  アビガン・イベルメクチンは、コロナ治療・コロナ予防・ワクチン後遺症・シェディングの全てに著効を,ok,
UCMnKLNU25MEiOV0gvXisghg,Katie,Katie Silver,journalist,,320,190,Television_program|Society|Politics|Entertainment,https://www.youtube.com/channel/UCMnKLNU25MEiOV0gvXisghg,,ok,"320 subs, no description - unverifiable from the archive"
UCh66SMap82G4fijE4c_V9hw,Stanislav Kucher,Stanislav Kucher,journalist|pundit,US,115000,559,Politics|Society,https://www.youtube.com/channel/UCh66SMap82G4fijE4c_V9hw,"Станислав Кучер - журналист, путешественник, исследователь человеческого потенциала. 25 лет работы на ТВ.  Каждую неделю рассказываю о главном, что может отразиться на наших здоровье, благополучии и н",ok,
UCRNzWtu-_5jtBm8UtS8ir9Q,יוני בן מנחם,Yoni Ben-Menachem,journalist,,10500,4869,Politics|Society,https://www.youtube.com/channel/UCRNzWtu-_5jtBm8UtS8ir9Q,"הערוץ מתאר את ההתפתחויות במזרח התיכון ובשטחי הגדה ורצועת עזה, וכן את המדיניות הישראלית וההתפתחויות המדיניות והפוליטיות בישראל.",ok,
UCaYw_yJ_YLPEv6zR2c7hgHA,The Officer Tatum,Brandon Tatum,journalist,US,3840000,6522,Society|Politics,https://www.youtube.com/channel/UCaYw_yJ_YLPEv6zR2c7hgHA,"The official YouTube Channel of Brandon Tatum!  Bringing the smoke where it’s needed most. Former Police Officer, Man of God, Speaker, Entrepreneur, @turningpointusa Contributor, Husband, and Father. ",ok,
UCbbPaYFFigyv2rEP6BMa3SA,Maxwell Reyes,Maxwell Reyes,journalist,DO,583,267,Society|Politics,https://www.youtube.com/channel/UCbbPaYFFigyv2rEP6BMa3SA,"Periodista dominicano con más de 20 años de trayectoria en radio, prensa escrita y medios digitales. Conductor de La Verdad con Maxwell Reyes por Monumental FM desde Santiago de los Caballeros, Repúbl",ok,
UCdqb6HmqhH7cRtNPIeFCaWw,Meir Javedanfar,Meir Javedanfar,journalist,IL,4440,113,Television_program|Society|Politics|Entertainment,https://www.youtube.com/channel/UCdqb6HmqhH7cRtNPIeFCaWw,,ok,
UC71KBjTx2nIxnG9n1GtWa_Q,MMI News (Mimi Mefo Info),Mimi Mefo Takambou,journalist,DE,25200,877,Society|Politics,https://www.youtube.com/channel/UC71KBjTx2nIxnG9n1GtWa_Q,"MMI News is an independent digital news platform committed to delivering credible, timely and people-centred journalism from Cameroon, Africa and the world.  We bring you breaking news, in-depth repor",ok,
UCa81SE6SxNsANTHs8wyztvg,Historia con Patricio Lons,Patricio Lons,columnist|journalist|pundit,AR,223000,1058,Politics|Society|Knowledge,https://www.youtube.com/channel/UCa81SE6SxNsANTHs8wyztvg,"Conocé Tu Historia para combatir la Leyenda Negra. Argentino - Católico - Hispanista, dedicado a la investigación histórica y al revisionismo del legado hispánico en América.    ",false_positive,"history/hispanist advocacy, not news"
UC7cUnTzBpxsNSrol25L1i-Q,Aarti Pole,Aarti Pole,journalist,,759,13,Politics|Society,https://www.youtube.com/channel/UC7cUnTzBpxsNSrol25L1i-Q,Journalist with CBC News Network.  http://www.cbc.ca/mediacentre/bio/aarti-pole Fb: https://www.facebook.com/aarti.a.pole Twitter: @aartipole Instagram: @aartipole,ok,
UCum7DSqLYPc23jsyds-X97Q,القناة الرسمية للإعلامي معتز مطر,Moataz Matar,journalist,EG,4930000,4743,Politics|Society,https://www.youtube.com/channel/UCum7DSqLYPc23jsyds-X97Q,#قناة_الشعوب  يمكنك متابعة قناة الشعوب علي  تردد 12685على مدار النايل سات Polarization: Horizontal Symbol Rate: 27.500 Msps FEC: 5/6  ما عليك سوى الانتساب إلى هذه القناة للاستفادة من المزايا: https://,ok,
UCt3YLZXef1khZj2-bfCQ_dQ,ШЕПЕЛИН,Ilya Shepelin,journalist,LT,133000,317,Politics|Society,https://www.youtube.com/channel/UCt3YLZXef1khZj2-bfCQ_dQ,Илья Шепелин ,ok,
UCV0ZrOPCKzqx36rRiPHkwFg,Віталій Портников,Vitaly Portnikov,journalist|pundit,UA,1040000,4842,Society|Politics,https://www.youtube.com/channel/UCV0ZrOPCKzqx36rRiPHkwFg,"Це - канал авторських коментарів Віталія Портникова. Говоримо з вами про головні події в Україні і світі, разом думаємо про майбутнє, дискутуємо й шукаємо вихід з ситуацій, які тільки здаються безвихі",ok,
UCmV-bbmjWF4XzublsXRjxiQ,たかまつななのSocial Action!,Nana Takamatsu,YouTuber|blogger|journalist,JP,240000,1910,Politics|Society,https://www.youtube.com/channel/UCmV-bbmjWF4XzublsXRjxiQ,【対話を重視した政治番組】 「たかまつななのSocial Action!」は、政治・社会問題をわかりやすく伝え、解決策を考える番組です。 社会課題、選挙、政策、国際情勢など、いま起きている出来事を、政治家・専門家・当事者との対話を通じて深掘りします。 心理的安全性を大切にし、異なる意見の人とも建設的な対話を行います。専門家や当事者の声から、社会問題の解決を考えます。 国政政党すべての党首・幹部が出,ok,
UCDj2dftyIYWVUcxC2cBmYvQ,Stefanie Medina,Stefanie Medina,journalist,,700,141,Television_program|Society|Politics,https://www.youtube.com/channel/UCDj2dftyIYWVUcxC2cBmYvQ,¡Hola! Soy Stefanie Medina y tengo varios años haciendo periodismo. Aquí te contaré las historias que puede que sepas pero que deberías conocer un poco más.,ok,
UCxz5GwRSk1EU7UgcMlXotdA,Bacci Notícias ,Luiz Bacci,journalist,,53800,448,Politics|Society,https://www.youtube.com/channel/UCxz5GwRSk1EU7UgcMlXotdA,"Bem-vindo ao canal oficial do Bacci Notícias.  Aqui você acompanha os principais acontecimentos do Brasil com análise direta, opinião e informação em tempo real com Luiz Bacci.  Acesse o portal comple",ok,
UCXgRU9vrJmmNNLDyTbdkjSg,Bahar Feyzan,Bahar Feyzan,journalist,TR,282000,7189,Society|Politics,https://www.youtube.com/channel/UCXgRU9vrJmmNNLDyTbdkjSg,"Gazeteci Bahar Feyzan, günün bomba gelişmesinin satır aralarını buluyor. Konuklarıyla değerlendiriyor. Gündemden ve ekonominin içinden gelişmeleri ayıklayıp farklı bakış açılarını ortaya çıkarıyor. He",ok,
UC1KN9IbNg4sWY7Oog_7Kb1A,Liam O'Dell,Liam O'Dell,journalist,GB,1160,31,Society|Politics,https://www.youtube.com/channel/UC1KN9IbNg4sWY7Oog_7Kb1A,"Liam O'Dell is a freelance journalist from the UK. Here on YouTube, he makes videos about current affairs and disability. Go ahead and subscribe for content to make you think outside your sub box.",ok,
UCcU1wGe9HhRyt45xDnzkQvA,Andrew Kaczynski,Andrew Kaczynski,journalist,,5910,895,Politics|Society|Television_program,https://www.youtube.com/channel/UCcU1wGe9HhRyt45xDnzkQvA,Andrew Kaczynski is a reporter and editor for CNN's KFILE.,ok,
UCbx10Vb3MbDNTwF-Kg9Xsvg,Kontroll • Gulyáságyú,Balázs Gulyás,journalist|pundit,HU,93000,716,Politics|Society,https://www.youtube.com/channel/UCbx10Vb3MbDNTwF-Kg9Xsvg,A Gulyáságyú mostantól a Kontroll keretei között folytatja tevékenységét.,ok,
UCmt9BtDz7nSiau3iLWgIGBQ,Ксения Ларина,Kseniya Larina,YouTuber|blogger|journalist,PT,145000,1754,Society|Politics,https://www.youtube.com/channel/UCmt9BtDz7nSiau3iLWgIGBQ,"Я Ксения Ларина, журналист, обозреватель  «Эхо Москвы». Всю сознательную жизнь. Надеюсь, мое радио ещё вернётся. Ведь мне всегда есть, что сказать)   По вопросам сотрудничества и рекламы: xlarina.kana",ok,
UCjFCjsGMmgMVJ98Uu_up7Vw,주성하TV,Joo Seong-Ha,journalist,KR,387000,1520,Politics|Society,https://www.youtube.com/channel/UCjFCjsGMmgMVJ98Uu_up7Vw,"북한 관련 전문 유튜브 채널 ‘주성하TV’에 오신 것을 환영합니다.  주성하TV는 ‘North Korea News by North Korean’이란 모토로, 전 세계에 정확하고, 객관적이며, 생생한 북한 정보를 전달하려 합니다. 주성하는 2002년 탈북 후 동아일보에서 23년 동안 북한 전문기자로 활동하고 있습니다. 북한에서 김일성대 영문과를 졸업했고, 한",ok,
UC7ivXUYaRoZb5WDLKksETUA,Puzsér Róbert,Róbert Puzsér,journalist|pundit,HU,279000,5028,Politics|Society,https://www.youtube.com/channel/UC7ivXUYaRoZb5WDLKksETUA,"Puzsér Róbert hivatalos csatornája. Filmek, videóblogok, régi és új médiamunkák.  https://www.facebook.com/Robert.Puzser https://soundofpuzser.blog.hu http://www.szelsokozep.hu http://puzser.hu http:/",ok,
UChQh8kVgrOYaCo6fxLdYepQ,Nashaat Eldeehy,Nashaat Eldeehy,journalist,EG,138000,21778,Politics|Society|Television_program|Entertainment,https://www.youtube.com/channel/UChQh8kVgrOYaCo6fxLdYepQ,"الإعلامي نشأت الديهي .. بدأ مشواره الإعلامي والصحفي عام 1997، صدر له 9 كتب متنوعة: ""التعليم وسنينه"" و""قادرون"" و""صح النوم"" و""مستقبل وطن"" و""شاب من مصر"" و""بدايات قاسية"" و""قوانين مبعثرة"" و""بائع التبغ"" و""ا",ok,
UCyRtVkSY1doj5Pu6NxnCGJA,Ivan Yakovina,Ivan Yakovina,blogger|journalist|pundit,US,1210000,2278,Politics|Society,https://www.youtube.com/channel/UCyRtVkSY1doj5Pu6NxnCGJA,Обозреватель Иван Яковина о событиях и тенденциях во всем мире,ok,
UCuW-vcw_38daTOL6NQQVVUA,Губин ON AIR,Dmitry Gubin,columnist|journalist|pundit,DE,49300,468,Society|Politics,https://www.youtube.com/channel/UCuW-vcw_38daTOL6NQQVVUA,"Взгляд на Россию с немецкого балкона; программы на ""Эхе"" в изгнании; сериал ""На вписке в Германии""; рецензии на фикшн и нон-фикшн. Это частный канал, ведущийся исключительно на средства автора и его с",ok,political commentary mixed with lifestyle series
UCodPVg2MpjNdCKd6Zrv78Jg,Amit Segal עמית סגל,Amit Segal,journalist,IL,31400,303,Politics|Society,https://www.youtube.com/channel/UCodPVg2MpjNdCKd6Zrv78Jg,ערוץ היוטיוב הרשמי של עמית סגל הפרשן הפוליטי של חדשות 12 וישראל היום  The official channel of Amit Segal Chief Political Commentator for Israel's Channel 12 and Israel Hayom newspaper  ,ok,
UCB1u_wJThc3_e5J4VVj7hQQ,Richard Medhurst,Richard Medhurst,journalist,GB,412000,2773,Society|Politics,https://www.youtube.com/channel/UCB1u_wJThc3_e5J4VVj7hQQ,"Richard Medhurst is an independent journalist from the United Kingdom whose work focuses on US politics, international relations and the Middle East.  Patreon: https://patreon.com/richardmedhurst Rokf",ok,
UCjJcyBIPBvK3Em7MvbODZjw,望月いそことオッカ君チャンネル,Isoko Mochizuki,YouTuber|blogger|journalist,JP,62200,2306,Society|Politics,https://www.youtube.com/channel/UCjJcyBIPBvK3Em7MvbODZjw,オオカミの「オッカ君」と #望月衣塑子 の語りチャンネル。この人に聞きたい！と果敢にインタビューしていきます！ 取材の記録動画も随時、アップ❗😊 ニュースに興味津々のオオカミこどもオッカ君も質問しちゃいます❗（ときどきサボります） このほか... ◆大竹まこと ゴールデンラジオ!　【大竹紳士交遊録】の月1回レギュラーで出演しています❗  【いそこの告知】 ネット上の言論空間をもっと多様に、もっと自,ok,
